ベース条件,追加条件,ベースn,追加後n,ベース+10%,追加後+10%,+10%増分,ベース+20%,追加後+20%,+20%増分,ベース平均最大,追加後平均最大,平均最大増分
ブレイク,出来高3倍以上,675,23,6.222222222222222,13.043478260869565,6.821256038647342,1.7777777777777777,13.043478260869565,11.265700483091788,3.1205260740740743,7.020973913043478,3.9004478389694035
前日比+3%以上,出来高3倍以上,994,32,9.557344064386317,18.75,9.192655935613683,2.9175050301810868,12.5,9.582494969818914,3.649963078470825,7.987709375,4.337746296529175
30日高値更新,出来高3倍以上,1083,27,6.001846722068329,14.814814814814813,8.812968092746484,1.7543859649122806,11.11111111111111,9.35672514619883,3.1625918744228994,7.215177777777779,4.0525859033548794
出来高3倍以上,ブレイク,104,23,7.6923076923076925,13.043478260869565,5.351170568561872,4.807692307692308,13.043478260869565,8.235785953177256,3.4435413461538458,7.020973913043478,3.577432566889632
前日比+1%以上,出来高3倍以上,3157,42,7.570478302185619,14.285714285714285,6.7152359835286655,1.4887551472917326,9.523809523809524,8.035054376517792,3.1267439657903076,6.216011904761906,3.0892679389715987
出来高3倍以上,前日比+3%以上,104,32,7.6923076923076925,18.75,11.057692307692307,4.807692307692308,12.5,7.692307692307692,3.4435413461538458,7.987709375,4.544168028846154
MA5上,出来高3倍以上,5997,58,5.91962647990662,13.793103448275861,7.873476968369241,1.0505252626313157,8.620689655172415,7.570164392541098,2.7946997498749373,5.494334482758621,2.6996347328836836
30日高値更新,前日比+5%以上,1083,136,6.001846722068329,16.176470588235293,10.174623866166964,1.7543859649122806,8.823529411764707,7.069143446852426,3.1625918744228994,7.903644852941177,4.741052978518278
ブレイク,前日比+5%以上,675,139,6.222222222222222,16.546762589928058,10.324540367705836,1.7777777777777777,8.633093525179856,6.855315747402078,3.1205260740740743,7.87051582733813,4.749989753264055
出来高3倍以上,前日比+5%以上,104,26,7.6923076923076925,15.384615384615385,7.6923076923076925,4.807692307692308,11.538461538461538,6.73076923076923,3.4435413461538458,7.528796153846155,4.085254807692309
MA25上,出来高3倍以上,6041,53,5.6282072504552225,13.20754716981132,7.579339919356098,1.0097665949346135,7.547169811320755,6.537403216386141,2.830798228770071,5.261162264150944,2.4303640353808733
出来高3倍以上,30日高値更新,104,27,7.6923076923076925,14.814814814814813,7.122507122507121,4.807692307692308,11.11111111111111,6.303418803418802,3.4435413461538458,7.215177777777779,3.771636431623933
MA75上,出来高3倍以上,5299,41,6.152104170598227,9.75609756097561,3.603993390377383,1.019060200037743,7.317073170731707,6.298012970693964,2.966094829213059,4.793451219512195,1.827356390299136
前日比+5%以上,出来高3倍以上,391,26,14.066496163682865,15.384615384615385,1.3181192209325197,5.626598465473146,11.538461538461538,5.9118630729883925,4.679874168797954,7.528796153846155,2.848921985048201
ブレイク,出来高2倍以上,675,86,6.222222222222222,11.627906976744185,5.405684754521963,1.7777777777777777,6.976744186046512,5.198966408268734,3.1205260740740743,4.251138372093024,1.1306122980189497
出来高2倍以上,前日比+5%以上,546,82,6.41025641025641,13.414634146341465,7.004377736085055,2.564102564102564,7.317073170731707,4.752970606629143,2.7349456043956044,4.291417073170732,1.5564714687751273
出来高3倍以上,前日比+1%以上,104,42,7.6923076923076925,14.285714285714285,6.593406593406592,4.807692307692308,9.523809523809524,4.716117216117215,3.4435413461538458,6.216011904761906,2.7724705586080605
MA5上,前日比+5%以上,5997,376,5.91962647990662,13.829787234042554,7.910160754135934,1.0505252626313157,5.585106382978723,4.534581120347408,2.7946997498749373,4.760204521276596,1.9655047714016587
ブレイク初日,出来高3倍以上,453,18,5.960264900662252,5.555555555555555,-0.40470934510669654,1.1037527593818985,5.555555555555555,4.451802796173657,2.7345311258278144,2.2090833333333335,-0.5254477924944809
出来高2倍以上,ブレイク,546,86,6.41025641025641,11.627906976744185,5.217650566487776,2.564102564102564,6.976744186046512,4.412641621943948,2.7349456043956044,4.251138372093024,1.5161927676974196
前日比+1%以上,前日比+5%以上,3157,391,7.570478302185619,14.066496163682865,6.496017861497246,1.4887551472917326,5.626598465473146,4.137843318181413,3.1267439657903076,4.679874168797954,1.5531302030076466
MA75上,前日比+5%以上,5299,262,6.152104170598227,13.358778625954198,7.206674455355971,1.019060200037743,4.961832061068702,3.9427718610309594,2.966094829213059,4.895333969465648,1.929239140252589
MA25上,前日比+5%以上,6041,290,5.6282072504552225,12.758620689655173,7.13041343919995,1.0097665949346135,4.827586206896552,3.817819611961938,2.830798228770071,4.883771379310344,2.0529731505402733
出来高3倍以上,MA5上,104,58,7.6923076923076925,13.793103448275861,6.100795755968169,4.807692307692308,8.620689655172415,3.812997347480106,3.4435413461538458,5.494334482758621,2.050793136604775
ブレイク初日,前日比+5%以上,453,108,5.960264900662252,13.88888888888889,7.928623988226637,1.1037527593818985,4.62962962962963,3.525876870247731,2.7345311258278144,5.410917592592592,2.676386466764778
ブレイク初日,出来高2倍以上,453,66,5.960264900662252,9.090909090909092,3.13064419024684,1.1037527593818985,4.545454545454546,3.441701786072647,2.7345311258278144,3.0876257575757577,0.3530946317479433
出来高2倍以上,前日比+3%以上,546,121,6.41025641025641,11.570247933884298,5.159991523627888,2.564102564102564,5.785123966942149,3.221021402839585,2.7349456043956044,4.032370247933885,1.2974246435382808
前日比+5%以上,30日高値更新,391,136,14.066496163682865,16.176470588235293,2.109974424552428,5.626598465473146,8.823529411764707,3.1969309462915607,4.679874168797954,7.903644852941177,3.223770684143223
30日高値更新,前日比+3%以上,1083,267,6.001846722068329,10.112359550561797,4.1105128284934676,1.7543859649122806,4.868913857677903,3.114527892765622,3.1625918744228994,5.686766292134831,2.524174417711932
30日高値更新,出来高2倍以上,1083,124,6.001846722068329,10.483870967741936,4.482024245673607,1.7543859649122806,4.838709677419355,3.084323712507074,3.1625918744228994,3.60816935483871,0.4455774804158108
